order_id,order_hour,city_tier,pricing_model,checkout_layout,basket_value_usd,delivery_time_min,net_margin_usd
ORD-500036,8,tier_1_megacity,tiered_basket_subsidy,upsell_grid_modal,38.75,46.0,5.39
ORD-500037,15,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,41.64,30.0,8.15
ORD-500038,9,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,19.62,45.0,-0.76
ORD-500039,9,tier_2_regional,tiered_basket_subsidy,gamified_loyalty_bar,42.83,49.0,7.63
ORD-500040,8,tier_2_regional,fixed_low_fee,upsell_grid_modal,37.36,52.0,5.11
ORD-500041,10,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,36.99,33.0,2.68
ORD-500042,12,tier_2_regional,tiered_basket_subsidy,gamified_loyalty_bar,41.23,14.0,8.47
ORD-500043,10,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,51.35,26.0,7.05
ORD-500044,22,tier_3_small,fixed_low_fee,gamified_loyalty_bar,30.53,30.0,4.37
ORD-500045,23,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,27.47,42.0,5.35
ORD-500046,15,tier_2_regional,dynamic_surge_multiplier,one_click_express,33.96,31.0,7.98
ORD-500047,18,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,39.69,20.0,5.74
ORD-500048,12,tier_3_small,tiered_basket_subsidy,one_click_express,29.17,28.0,6.12
ORD-500049,13,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,28.55,37.0,-0.65
ORD-500050,16,tier_3_small,dynamic_surge_multiplier,gamified_loyalty_bar,19.9,40.0,5.42
ORD-500051,13,tier_1_megacity,dynamic_surge_multiplier,one_click_express,52.46,16.0,8.51
ORD-500052,21,tier_1_megacity,fixed_low_fee,upsell_grid_modal,49.41,33.0,3.56
ORD-500053,22,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,32.37,20.0,6.4
ORD-500054,20,tier_2_regional,dynamic_surge_multiplier,upsell_grid_modal,16.78,50.0,4.48
ORD-500055,14,tier_2_regional,fixed_low_fee,upsell_grid_modal,43.57,29.0,5.29
ORD-500056,16,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,56.48,19.0,-1.81
ORD-500057,18,tier_2_regional,fixed_low_fee,upsell_grid_modal,34.08,24.0,7.7
ORD-500058,11,tier_2_regional,fixed_low_fee,one_click_express,23.44,20.0,4.23
ORD-500059,12,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,26.83,31.0,3.53
ORD-500060,8,tier_2_regional,dynamic_surge_multiplier,gamified_loyalty_bar,34.86,54.0,2.62
ORD-500061,20,tier_2_regional,tiered_basket_subsidy,upsell_grid_modal,29.08,36.0,5.49
ORD-500062,17,tier_2_regional,tiered_basket_subsidy,one_click_express,24.95,29.0,5.8
ORD-500063,8,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,22.26,35.0,0.07
ORD-500064,18,tier_2_regional,dynamic_surge_multiplier,one_click_express,29.74,38.0,1.42
ORD-500065,12,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,32.58,47.0,7.89
ORD-500066,12,tier_1_megacity,fixed_low_fee,one_click_express,55.66,17.0,3.38
ORD-500067,14,tier_2_regional,fixed_low_fee,one_click_express,31.91,13.0,6.31
ORD-500068,9,tier_1_megacity,fixed_low_fee,one_click_express,19.13,28.0,1.78
ORD-500069,12,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,25.32,21.0,3.06
ORD-500070,18,tier_1_megacity,tiered_basket_subsidy,upsell_grid_modal,13.82,36.0,4.8
ORD-500071,21,tier_2_regional,dynamic_surge_multiplier,upsell_grid_modal,30.0,44.0,2.25
ORD-500072,15,tier_3_small,dynamic_surge_multiplier,upsell_grid_modal,22.06,30.0,0.51
ORD-500073,17,tier_3_small,dynamic_surge_multiplier,upsell_grid_modal,14.93,38.0,1.51
ORD-500074,18,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,13.96,33.0,2.53
ORD-500075,11,tier_2_regional,fixed_low_fee,one_click_express,27.55,42.0,6.86
ORD-500076,21,tier_1_megacity,dynamic_surge_multiplier,one_click_express,44.45,46.0,8.96
ORD-500077,12,tier_2_regional,dynamic_surge_multiplier,upsell_grid_modal,31.91,54.0,0.87
ORD-500078,11,tier_1_megacity,tiered_basket_subsidy,upsell_grid_modal,24.33,28.0,6.46
ORD-500079,16,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,39.27,28.0,4.09
ORD-500080,22,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,47.42,32.0,6.04
ORD-500081,23,tier_3_small,dynamic_surge_multiplier,gamified_loyalty_bar,19.06,42.0,4.86
ORD-500082,19,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,35.85,31.0,1.91
ORD-500083,14,tier_2_regional,dynamic_surge_multiplier,one_click_express,35.7,30.0,9.7
ORD-500084,12,tier_1_megacity,tiered_basket_subsidy,one_click_express,49.79,36.0,7.03
ORD-500085,8,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,31.48,23.0,4.75
ORD-500086,23,tier_1_megacity,fixed_low_fee,upsell_grid_modal,57.4,33.0,6.05
ORD-500087,19,tier_2_regional,fixed_low_fee,one_click_express,23.87,45.0,3.87
ORD-500088,14,tier_2_regional,fixed_low_fee,one_click_express,32.87,20.0,1.36
ORD-500089,19,tier_1_megacity,tiered_basket_subsidy,upsell_grid_modal,31.25,28.0,4.55
ORD-500090,16,tier_2_regional,fixed_low_fee,one_click_express,31.66,30.0,4.63
ORD-500091,10,tier_1_megacity,dynamic_surge_multiplier,one_click_express,43.94,42.0,8.85
ORD-500092,8,tier_3_small,dynamic_surge_multiplier,one_click_express,22.53,13.0,11.89
ORD-500093,14,tier_1_megacity,dynamic_surge_multiplier,one_click_express,39.88,35.0,9.18
ORD-500094,21,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,44.32,30.0,7.8
ORD-500095,17,tier_3_small,tiered_basket_subsidy,one_click_express,26.0,40.0,7.17
ORD-500096,23,tier_1_megacity,dynamic_surge_multiplier,one_click_express,47.43,37.0,3.41
ORD-500097,8,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,39.42,27.0,6.38
ORD-500098,23,tier_1_megacity,tiered_basket_subsidy,upsell_grid_modal,45.75,35.0,3.79
ORD-500099,11,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,33.68,48.0,3.12
ORD-500100,15,tier_3_small,dynamic_surge_multiplier,upsell_grid_modal,27.59,22.0,5.44
ORD-500101,9,tier_2_regional,fixed_low_fee,upsell_grid_modal,29.3,36.0,6.33
ORD-500102,12,tier_1_megacity,dynamic_surge_multiplier,one_click_express,39.02,32.0,8.27
ORD-500103,12,tier_3_small,fixed_low_fee,one_click_express,17.81,36.0,5.28
ORD-500104,15,tier_2_regional,tiered_basket_subsidy,one_click_express,14.93,25.0,4.65
ORD-500105,16,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,46.87,34.0,2.71
ORD-500106,8,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,22.27,36.0,3.1
ORD-500107,19,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,33.16,41.0,4.02
ORD-500108,17,tier_1_megacity,tiered_basket_subsidy,one_click_express,44.03,29.0,2.66
ORD-500109,19,tier_2_regional,dynamic_surge_multiplier,gamified_loyalty_bar,33.53,27.0,4.35
ORD-500110,15,tier_1_megacity,tiered_basket_subsidy,one_click_express,39.65,40.0,1.11
ORD-500111,9,tier_3_small,tiered_basket_subsidy,upsell_grid_modal,15.05,34.0,4.53
ORD-500112,12,tier_2_regional,tiered_basket_subsidy,gamified_loyalty_bar,46.14,17.0,7.49
ORD-500113,8,tier_3_small,dynamic_surge_multiplier,gamified_loyalty_bar,27.57,29.0,11.16
ORD-500114,21,tier_2_regional,tiered_basket_subsidy,gamified_loyalty_bar,47.24,50.0,8.01
ORD-500115,10,tier_1_megacity,tiered_basket_subsidy,upsell_grid_modal,39.34,40.0,5.86
ORD-500116,11,tier_2_regional,fixed_low_fee,upsell_grid_modal,28.29,19.0,7.49
ORD-500117,22,tier_2_regional,tiered_basket_subsidy,one_click_express,42.49,10.0,6.53
ORD-500118,12,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,58.67,34.0,9.5
ORD-500119,9,tier_2_regional,dynamic_surge_multiplier,one_click_express,29.7,41.0,4.79
ORD-500120,19,tier_1_megacity,fixed_low_fee,one_click_express,45.89,13.0,6.09
ORD-500121,19,tier_2_regional,tiered_basket_subsidy,upsell_grid_modal,27.51,20.0,7.97
ORD-500122,14,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,32.9,35.0,9.15
ORD-500123,13,tier_2_regional,dynamic_surge_multiplier,upsell_grid_modal,32.36,36.0,-1.02
ORD-500124,8,tier_1_megacity,dynamic_surge_multiplier,one_click_express,52.0,22.0,5.45
ORD-500125,23,tier_2_regional,dynamic_surge_multiplier,one_click_express,40.18,22.0,11.04
ORD-500126,13,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,30.62,33.0,6.02
ORD-500127,8,tier_1_megacity,dynamic_surge_multiplier,one_click_express,26.92,35.0,7.12
ORD-500128,14,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,47.1,24.0,9.09
ORD-500129,11,tier_3_small,dynamic_surge_multiplier,one_click_express,38.85,44.0,7.0
ORD-500130,8,tier_1_megacity,dynamic_surge_multiplier,one_click_express,38.53,26.0,15.24
ORD-500131,15,tier_3_small,dynamic_surge_multiplier,one_click_express,27.3,41.0,8.36
ORD-500132,22,tier_1_megacity,fixed_low_fee,one_click_express,26.78,29.0,0.6
ORD-500133,23,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,53.86,24.0,8.81
ORD-500134,8,tier_2_regional,fixed_low_fee,upsell_grid_modal,31.46,38.0,5.76
ORD-500135,13,tier_1_megacity,dynamic_surge_multiplier,one_click_express,51.75,27.0,8.97
ORD-500136,16,tier_2_regional,dynamic_surge_multiplier,one_click_express,22.98,22.0,6.76
ORD-500137,8,tier_2_regional,fixed_low_fee,one_click_express,24.46,41.0,4.77
ORD-500138,13,tier_2_regional,tiered_basket_subsidy,gamified_loyalty_bar,34.04,34.0,8.28
ORD-500139,15,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,24.53,23.0,6.23
ORD-500140,18,tier_2_regional,dynamic_surge_multiplier,gamified_loyalty_bar,23.89,43.0,-0.82
ORD-500141,16,tier_2_regional,fixed_low_fee,upsell_grid_modal,34.11,39.0,3.98
ORD-500142,21,tier_2_regional,tiered_basket_subsidy,gamified_loyalty_bar,31.19,39.0,9.18
ORD-500143,8,tier_2_regional,tiered_basket_subsidy,one_click_express,29.36,46.0,8.35
ORD-500144,17,tier_1_megacity,dynamic_surge_multiplier,one_click_express,46.55,30.0,7.63
ORD-500145,15,tier_2_regional,fixed_low_fee,one_click_express,20.71,23.0,2.57
ORD-500146,21,tier_3_small,tiered_basket_subsidy,upsell_grid_modal,24.84,29.0,4.51
ORD-500147,22,tier_2_regional,dynamic_surge_multiplier,upsell_grid_modal,738.31,26.0,123.29
ORD-500148,15,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,46.71,32.0,4.11
ORD-500149,20,tier_1_megacity,tiered_basket_subsidy,one_click_express,40.69,39.0,3.88
ORD-500150,13,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,26.89,30.0,4.8
ORD-500151,22,tier_1_megacity,tiered_basket_subsidy,one_click_express,54.93,26.0,7.05
ORD-500152,14,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,48.9,33.0,5.77
ORD-500153,14,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,48.48,46.0,12.1
ORD-500154,23,tier_3_small,fixed_low_fee,gamified_loyalty_bar,25.72,45.0,4.64
ORD-500155,18,tier_2_regional,dynamic_surge_multiplier,one_click_express,35.77,31.0,2.37
ORD-500156,21,tier_3_small,tiered_basket_subsidy,one_click_express,25.89,22.0,3.0
ORD-500157,17,tier_1_megacity,tiered_basket_subsidy,upsell_grid_modal,39.25,34.0,1.46
ORD-500158,14,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,37.59,46.0,6.36
ORD-500159,22,tier_2_regional,tiered_basket_subsidy,gamified_loyalty_bar,43.57,46.0,5.66
ORD-500160,16,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,35.87,46.0,0.15
ORD-500161,22,tier_2_regional,tiered_basket_subsidy,one_click_express,16.5,33.0,9.93
ORD-500162,22,tier_2_regional,dynamic_surge_multiplier,upsell_grid_modal,22.09,,1.95
ORD-500163,15,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,53.75,24.0,3.76
ORD-500164,17,tier_3_small,dynamic_surge_multiplier,gamified_loyalty_bar,16.6,28.0,3.75
ORD-500165,11,,dynamic_surge_multiplier,one_click_express,32.68,27.0,11.21
ORD-500166,12,tier_2_regional,dynamic_surge_multiplier,gamified_loyalty_bar,36.09,-99.0,4.61
ORD-500167,11,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,23.58,51.0,8.66
ORD-500168,10,tier_3_small,fixed_low_fee,gamified_loyalty_bar,24.53,44.0,5.38
ORD-500169,15,tier_3_small,tiered_basket_subsidy,one_click_express,22.79,25.0,6.33
ORD-500170,18,tier_1_megacity,tiered_basket_subsidy,one_click_express,48.24,30.0,5.82
ORD-500171,19,tier_1_megacity,tiered_basket_subsidy,upsell_grid_modal,46.06,38.0,3.18
ORD-500172,17,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,26.74,26.0,5.15
ORD-500173,11,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,21.79,47.0,3.04
ORD-500174,16,tier_3_small,fixed_low_fee,gamified_loyalty_bar,21.78,31.0,6.68
ORD-500175,14,tier_3_small,fixed_low_fee,upsell_grid_modal,38.74,24.0,5.15
ORD-500176,19,tier_3_small,tiered_basket_subsidy,one_click_express,29.15,12.0,8.44
ORD-500177,19,tier_2_regional,tiered_basket_subsidy,upsell_grid_modal,26.81,26.0,9.11
ORD-500178,10,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,30.27,29.0,5.9
ORD-500179,17,tier_1_megacity,dynamic_surge_multiplier,one_click_express,48.2,33.0,2.51
ORD-500180,17,tier_2_regional,tiered_basket_subsidy,gamified_loyalty_bar,42.51,28.0,11.43
ORD-500181,13,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,39.47,46.0,12.58
ORD-500182,10,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,30.11,28.0,4.35
ORD-500183,16,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,34.29,28.0,1.84
ORD-500184,13,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,34.25,44.0,5.16
ORD-500185,15,tier_2_regional,fixed_low_fee,one_click_express,20.78,34.0,5.36
ORD-500186,19,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,33.23,27.0,3.28
ORD-500187,10,tier_2_regional,tiered_basket_subsidy,one_click_express,36.97,21.0,5.25
ORD-500188,12,tier_1_megacity,tiered_basket_subsidy,one_click_express,46.84,37.0,4.63
ORD-500189,22,tier_3_small,tiered_basket_subsidy,gamified_loyalty_bar,26.77,31.0,9.37
ORD-500190,19,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,37.15,36.0,-2.08
ORD-500191,11,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,23.4,22.0,8.88
ORD-500192,8,tier_3_small,fixed_low_fee,upsell_grid_modal,29.48,,4.19
ORD-500193,15,tier_2_regional,dynamic_surge_multiplier,gamified_loyalty_bar,13.21,36.0,5.38
ORD-500194,19,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,29.45,25.0,7.44
ORD-500195,12,tier_1_megacity,tiered_basket_subsidy,one_click_express,27.01,49.0,4.67
ORD-500196,23,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,30.9,23.0,5.35
ORD-500197,12,tier_3_small,tiered_basket_subsidy,upsell_grid_modal,28.78,48.0,3.24
ORD-500198,9,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,57.27,24.0,3.48
ORD-500199,15,tier_1_megacity,dynamic_surge_multiplier,one_click_express,45.74,50.0,12.05
ORD-500200,19,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,20.31,25.0,9.04
ORD-500201,21,tier_2_regional,fixed_low_fee,one_click_express,20.46,31.0,3.47
ORD-500202,22,tier_3_small,dynamic_surge_multiplier,upsell_grid_modal,21.9,23.0,5.57
ORD-500203,11,tier_1_megacity,fixed_low_fee,upsell_grid_modal,39.57,48.0,6.21
ORD-500204,8,tier_2_regional,tiered_basket_subsidy,one_click_express,29.31,31.0,1.56
ORD-500205,8,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,31.77,32.0,9.3
ORD-500206,8,tier_1_megacity,dynamic_surge_multiplier,one_click_express,33.39,40.0,0.71
ORD-500207,23,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,49.14,27.0,0.75
ORD-500208,15,tier_3_small,fixed_low_fee,upsell_grid_modal,25.22,33.0,5.83
ORD-500209,23,tier_2_regional,dynamic_surge_multiplier,one_click_express,26.19,10.0,-0.69
ORD-500210,16,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,42.48,29.0,8.3
ORD-500211,15,tier_1_megacity,tiered_basket_subsidy,one_click_express,37.62,41.0,2.88
ORD-500212,12,tier_2_regional,dynamic_surge_multiplier,one_click_express,28.32,31.0,8.27
ORD-500213,12,tier_2_regional,dynamic_surge_multiplier,one_click_express,35.54,35.0,7.86
ORD-500214,15,tier_2_regional,fixed_low_fee,one_click_express,29.49,35.0,0.41
ORD-500215,20,tier_2_regional,dynamic_surge_multiplier,gamified_loyalty_bar,36.64,34.0,4.55
ORD-500216,17,tier_2_regional,tiered_basket_subsidy,one_click_express,27.91,38.0,3.27
ORD-500217,12,tier_3_small,dynamic_surge_multiplier,gamified_loyalty_bar,17.72,28.0,5.97
ORD-500218,18,tier_2_regional,dynamic_surge_multiplier,upsell_grid_modal,23.44,43.0,-0.5
ORD-500219,21,tier_1_megacity,tiered_basket_subsidy,one_click_express,36.85,25.0,5.79
ORD-500220,12,tier_2_regional,fixed_low_fee,one_click_express,28.36,35.0,2.2
ORD-500221,15,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,38.78,21.0,2.77
ORD-500222,11,tier_2_regional,tiered_basket_subsidy,upsell_grid_modal,29.68,22.0,3.23
ORD-500223,18,tier_1_megacity,fixed_low_fee,upsell_grid_modal,41.31,29.0,2.62
ORD-500224,12,tier_1_megacity,tiered_basket_subsidy,upsell_grid_modal,34.62,13.0,2.22
ORD-500225,9,tier_2_regional,tiered_basket_subsidy,one_click_express,32.7,31.0,3.3
ORD-500226,20,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,26.69,25.0,4.03
ORD-500227,22,tier_2_regional,dynamic_surge_multiplier,one_click_express,25.15,30.0,6.61
ORD-500228,8,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,53.0,41.0,6.32
ORD-500229,17,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,27.78,19.0,4.17
ORD-500230,10,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,36.61,30.0,6.88
ORD-500231,17,tier_3_small,dynamic_surge_multiplier,one_click_express,25.63,32.0,1.99
ORD-500232,11,tier_3_small,fixed_low_fee,upsell_grid_modal,27.04,33.0,9.4
ORD-500233,9,tier_3_small,dynamic_surge_multiplier,upsell_grid_modal,8.0,44.0,2.06
ORD-500234,11,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,35.45,33.0,5.05
ORD-500235,15,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,66.76,44.0,5.73
ORD-500236,11,tier_3_small,tiered_basket_subsidy,gamified_loyalty_bar,42.06,41.0,8.04
ORD-500237,20,tier_1_megacity,fixed_low_fee,one_click_express,38.33,36.0,2.16
ORD-500238,19,tier_1_megacity,dynamic_surge_multiplier,one_click_express,47.29,15.0,10.31
ORD-500239,11,tier_2_regional,tiered_basket_subsidy,one_click_express,31.81,19.0,7.77
ORD-500240,19,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,22.31,34.0,4.2
ORD-500241,13,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,46.14,37.0,3.16
ORD-500242,8,tier_3_small,tiered_basket_subsidy,gamified_loyalty_bar,47.31,50.0,6.57
ORD-500243,17,tier_1_megacity,fixed_low_fee,one_click_express,48.91,20.0,4.09
ORD-500244,10,,fixed_low_fee,gamified_loyalty_bar,27.89,22.0,4.04
ORD-500245,23,tier_2_regional,fixed_low_fee,upsell_grid_modal,37.45,36.0,5.55
ORD-500246,22,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,49.28,27.0,6.38
ORD-500247,9,tier_1_megacity,tiered_basket_subsidy,one_click_express,43.28,21.0,7.73
ORD-500248,20,tier_3_small,tiered_basket_subsidy,one_click_express,29.61,35.0,4.04
ORD-500249,17,tier_1_megacity,dynamic_surge_multiplier,one_click_express,37.82,49.0,13.34
ORD-500250,14,,fixed_low_fee,one_click_express,40.66,26.0,3.33
ORD-500251,14,tier_2_regional,dynamic_surge_multiplier,one_click_express,43.78,44.0,9.6
ORD-500252,16,tier_3_small,fixed_low_fee,gamified_loyalty_bar,19.38,38.0,2.81
ORD-500253,9,tier_2_regional,dynamic_surge_multiplier,gamified_loyalty_bar,29.16,41.0,4.16
ORD-500254,20,tier_1_megacity,fixed_low_fee,one_click_express,36.34,21.0,1.75
ORD-500255,12,tier_3_small,fixed_low_fee,upsell_grid_modal,32.74,25.0,4.47
ORD-500256,20,tier_1_megacity,tiered_basket_subsidy,one_click_express,28.53,26.0,6.35
ORD-500257,8,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,35.98,16.0,7.8
ORD-500258,8,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,27.11,29.0,4.3
ORD-500259,16,tier_3_small,dynamic_surge_multiplier,upsell_grid_modal,11.04,10.0,4.22
ORD-500260,9,tier_1_megacity,tiered_basket_subsidy,upsell_grid_modal,47.86,40.0,4.13
ORD-500261,16,tier_2_regional,tiered_basket_subsidy,gamified_loyalty_bar,32.1,36.0,10.59
ORD-500262,8,tier_1_megacity,tiered_basket_subsidy,one_click_express,35.25,35.0,5.96
ORD-500263,17,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,29.91,16.0,4.75
ORD-500264,11,tier_1_megacity,fixed_low_fee,one_click_express,41.13,32.0,3.42
ORD-500265,23,tier_2_regional,tiered_basket_subsidy,gamified_loyalty_bar,48.46,18.0,9.44
ORD-500266,15,tier_2_regional,dynamic_surge_multiplier,one_click_express,27.73,45.0,-1.75
ORD-500267,8,tier_3_small,fixed_low_fee,gamified_loyalty_bar,26.77,40.0,5.41
ORD-500268,8,tier_2_regional,fixed_low_fee,upsell_grid_modal,32.43,42.0,2.72
ORD-500269,14,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,37.25,34.0,4.13
ORD-500270,23,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,19.14,20.0,-0.76
ORD-500271,15,tier_2_regional,tiered_basket_subsidy,one_click_express,23.74,26.0,7.43
ORD-500272,9,tier_2_regional,tiered_basket_subsidy,gamified_loyalty_bar,55.15,28.0,6.03
ORD-500273,12,tier_1_megacity,tiered_basket_subsidy,one_click_express,39.77,36.0,5.36
ORD-500274,18,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,27.45,29.0,6.28
ORD-500275,21,tier_1_megacity,tiered_basket_subsidy,one_click_express,31.29,28.0,5.26
ORD-500276,13,tier_3_small,fixed_low_fee,gamified_loyalty_bar,21.46,19.0,5.69
